# run_dir;result\run_5f43816c42_1;;;;
# run_timestamp;2025-09-16T08:09:46;;;;
# sample_path;tgs_salt/5f43816c42.png;;;;
# sample_semantic_mask_path;tgs_salt/5f43816c42Mask.png;;;;
# generat_mask_path;tgs_salt/5f43816c42Mask.png;;;;
# window_height;101;;;;
# window_width;101;;;;
# kernel_size;11;;;;
# visualize;False;;;;
# iterations_requested;100;;;;
# iterations_completed;100;;;;
# --- métricas por iteração ---;;;;;
iteration;output_file;time_sec;mse;dssim;lbp_distance
82;result\run_5f43816c42_1\4e11b6df.jpg;21.668521;866.116263;0.25889;0.240836
83;result\run_5f43816c42_1\e40bb894.jpg;21.861079;768.067542;0.268112;0.158463
84;result\run_5f43816c42_1\546fc903.jpg;22.076092;804.560925;0.247604;0.171285
85;result\run_5f43816c42_1\d62fca35.jpg;21.850072;676.422508;0.233427;0.156916
86;result\run_5f43816c42_1\375d9f35.jpg;22.482406;881.235467;0.264786;0.218152
87;result\run_5f43816c42_1\2325509b.jpg;21.545741;792.467699;0.245128;0.162816
88;result\run_5f43816c42_1\91901aaa.jpg;21.778238;875.379571;0.260785;0.222639
89;result\run_5f43816c42_1\914e0595.jpg;21.982488;689.653955;0.248257;0.15902
90;result\run_5f43816c42_1\97c7714e.jpg;21.426449;703.492403;0.237638;0.214125
91;result\run_5f43816c42_1\ae70f4ac.jpg;19.843777;763.009803;0.232871;0.204297
92;result\run_5f43816c42_1\e0fe55b3.jpg;19.812871;724.227625;0.265044;0.157664
93;result\run_5f43816c42_1\8d294819.jpg;19.629614;831.833252;0.257713;0.14637
94;result\run_5f43816c42_1\a563424f.jpg;19.749234;698.086854;0.252409;0.194109
95;result\run_5f43816c42_1\27301d53.jpg;19.852662;744.090481;0.230313;0.172505
96;result\run_5f43816c42_1\3f38a1e2.jpg;19.594234;701.557886;0.251545;0.192114
97;result\run_5f43816c42_1\5282e549.jpg;19.581163;784.806784;0.236874;0.225091
98;result\run_5f43816c42_1\2efe078c.jpg;19.717153;700.877267;0.243853;0.18805
99;result\run_5f43816c42_1\2af71e5f.jpg;19.928122;868.275169;0.245375;0.193489
100;result\run_5f43816c42_1\3d2608cc.jpg;19.570111;920.835506;0.266058;0.234623
